#{"t_start": 1725717948.791187, "env_id": null}
r,l,t
1.0,300,70.380983
1.0,300,70.750501
1.0,300,72.004457
1.0,300,72.377514
1.0,300,72.747924
1.0,300,73.118691
1.0,300,73.488045
1.0,300,73.857408
1.0,300,74.22674
1.0,300,75.417673
1.0,300,75.78901
1.0,300,76.159784
1.0,300,76.530087
1.0,300,76.901557
1.0,300,77.270532
1.0,300,77.64179
1.0,300,78.828506
1.0,300,79.198069
1.0,300,79.570805
1.0,300,79.950173
1.0,300,80.328266
1.0,300,80.695856
1.0,300,81.068031
1.0,300,82.267985
1.0,300,82.63895
1.0,300,83.008445
1.0,300,83.379872
1.0,300,83.752065
1.0,300,84.120986
1.0,300,85.316517
1.0,300,85.687462
1.0,300,86.057477
1.0,300,86.429175
1.0,300,86.803864
1.0,300,87.172735
1.0,300,87.546792
1.0,300,88.740258
1.0,300,89.109715
1.0,300,89.482599
1.0,300,89.850112
1.0,300,90.217553
1.0,300,90.587777
1.0,300,90.9572
1.0,300,92.145391
1.0,300,92.517259
1.0,300,92.886086
1.0,300,93.256622
1.0,300,93.627086
1.0,300,93.996658
1.0,300,94.366474
1.0,300,95.561512
1.0,300,95.93199
1.0,300,96.304894
1.0,300,96.677475
1.0,300,97.050164
1.0,300,97.421618
1.0,300,97.79072
1.0,300,98.992061
1.0,300,99.364839
1.0,300,99.732905
1.0,300,100.101475
1.0,300,100.470688
1.0,300,100.841101
1.0,300,101.211218
1.0,300,102.406564
1.0,300,102.775267
1.0,300,103.143787
1.0,300,103.514263
1.0,300,103.884336
1.0,300,104.253279
1.0,300,105.449321
1.0,300,105.821796
1.0,300,106.192328
1.0,300,106.560452
1.0,300,106.929835
1.0,300,107.29895
1.0,300,107.669981
1.0,300,108.86562
1.0,300,109.232688
1.0,300,109.605417
1.0,300,109.977432
1.0,300,110.350059
1.0,300,110.720111
1.0,300,111.104445
1.0,300,112.300258
1.0,300,112.672264
1.0,300,113.041489
1.0,300,113.412438
1.0,300,113.783125
1.0,300,114.154034
1.0,300,114.527189
1.0,300,115.741933
1.0,300,116.115446
0.0,190,116.352877
1.0,300,116.726352
1.0,300,117.098262
1.0,300,117.470561
1.0,300,117.841819
1.0,300,119.241758
1.0,300,119.648359
1.0,300,120.040789
1.0,300,120.451188
1.0,300,120.850479
1.0,300,121.233312
1.0,300,121.608118
1.0,300,122.844372
1.0,300,123.215411
1.0,300,123.590573
1.0,300,123.964171
1.0,300,124.418218
1.0,300,124.818662
1.0,300,125.301936
1.0,300,126.58619
1.0,300,126.962395
1.0,300,127.333001
0.0,43,127.387481
1.0,300,127.75615
1.0,300,128.155299
1.0,300,128.640258
1.0,300,130.063816
1.0,300,130.465252
1.0,300,130.862088
1.0,300,131.257405
1.0,300,131.649679
1.0,300,132.061411
1.0,300,132.45112
1.0,300,133.702862
1.0,300,134.090341
1.0,300,134.470037
1.0,300,134.84274
1.0,300,135.248563
1.0,300,135.620513
1.0,300,135.990382
1.0,300,137.184346
1.0,300,137.579327
0.0,120,137.757275
1.0,300,138.140697
1.0,300,138.519278
1.0,300,138.89375
0.0,124,139.049222
1.0,300,139.422354
1.0,300,140.648481
1.0,300,141.023967
1.0,300,141.395937
1.0,300,141.775606
1.0,300,142.163404
1.0,300,142.53473
1.0,300,142.932193
1.0,300,144.132215
1.0,300,144.523346
1.0,300,144.89484
1.0,300,145.269773
1.0,300,145.645554
1.0,300,146.056138
1.0,300,146.434856
1.0,300,147.628431
1.0,300,148.00118
1.0,300,148.372444
1.0,300,148.746143
1.0,300,149.178312
1.0,300,149.56675
0.0,21,149.594626
1.0,300,149.968557
1.0,300,151.180084
1.0,300,151.583856
1.0,300,151.956549
1.0,300,152.352185
1.0,300,152.722134
1.0,300,153.096021
1.0,300,154.370894
1.0,300,154.753057
1.0,300,155.157768
1.0,300,155.595747
1.0,300,156.002011
1.0,300,156.436251
0.0,87,156.563449
1.0,300,156.957192
1.0,300,158.192256
1.0,300,158.612206
1.0,300,158.987328
1.0,300,159.404637
1.0,300,159.795601
1.0,300,160.222549
1.0,300,160.623097
1.0,300,162.013111
1.0,300,162.388298
1.0,300,162.827555
1.0,300,163.230392
1.0,300,163.631575
1.0,300,164.065434
1.0,300,164.478927
1.0,300,165.721969
1.0,300,166.12703
1.0,300,166.532473
1.0,300,166.92875
1.0,300,167.303343
1.0,300,167.682678
