#{"t_start": 1725716920.5609028, "env_id": null}
r,l,t
1.0,300,90.821198
1.0,300,91.002334
1.0,300,91.185347
1.0,300,91.365304
1.0,300,91.551751
1.0,300,92.668948
1.0,300,92.855091
0.0,185,92.97491
1.0,300,93.171506
1.0,300,93.359392
1.0,300,93.545083
1.0,300,93.742362
1.0,300,93.936958
1.0,300,94.971587
1.0,300,95.160396
1.0,300,95.344707
1.0,300,95.526078
1.0,300,95.710151
1.0,300,95.89262
1.0,300,96.925357
1.0,300,97.104757
1.0,300,97.285047
1.0,300,97.467622
1.0,300,97.649835
1.0,300,97.831087
1.0,300,98.01091
1.0,300,99.162525
1.0,300,99.351782
1.0,300,99.536844
1.0,300,99.721736
1.0,300,99.904755
1.0,300,100.085114
1.0,300,100.264408
0.0,231,101.268755
1.0,300,101.449668
1.0,300,101.629388
1.0,300,101.810051
1.0,300,101.990537
1.0,300,102.167735
1.0,300,102.350319
1.0,300,103.401977
1.0,300,103.581884
1.0,300,103.766158
1.0,300,103.948624
1.0,300,104.131997
1.0,300,104.31079
1.0,300,104.503909
1.0,300,105.621647
1.0,300,105.809966
1.0,300,105.989736
1.0,300,106.17124
1.0,300,106.351024
1.0,300,106.533751
1.0,300,106.713307
1.0,300,107.806907
1.0,300,107.987628
1.0,300,108.168743
1.0,300,108.349305
1.0,300,108.530967
1.0,300,108.71282
1.0,300,108.891428
